Log HR Apixaban Stroke,Log HR Apixaban MI,Log HR Apixaban Bleed,Log HR Apixaban ICH,Log HR Apixaban Death,Log HR Apixaban SE,Log HR Apixaban TIA,Log HR Dabigatran Stroke,Log HR Dabigatran MI,Log HR Dabigatran Bleed,Log HR Dabigatran ICH,Log HR Dabigatran Death,Log HR Dabigatran SE,Log HR Dabigatran TIA,Log HR Edoxaban Stroke,Log HR Edoxaban MI,Log HR Edoxaban Bleed,Log HR Edoxaban ICH,Log HR Edoxaban Death,Log HR Edoxaban SE,Log HR Edoxaban TIA
-0.08979,-0.2278,-0.1004,-0.8643,-0.1103,-0.4661,-1.489,-0.3489,0.2534,0.03342,-1.098,-0.186,-0.4166,1.162,0.1073,0.00318,-0.1383,-0.6982,-0.0797,-0.1014,0.336
-0.1336,-0.2278,-0.1975,-0.8643,-0.1103,-0.4661,-1.489,-0.3489,0.2534,0.03342,-1.045,-0.1524,-0.4166,0.3748,-0.04089,-0.2538,-0.1531,-0.6982,-0.0797,-0.1014,-0.01082
-0.26,-0.2278,-0.1975,-1.107,-0.1772,-0.4985,-1.489,-0.3489,0.2873,0.1256,-1.045,-0.1002,-0.4735,-0.8989,0.002729,0.05949,-0.1531,-0.7364,-0.06775,-0.1014,-0.9776
-0.09656,-0.2278,-0.1975,-1.072,-0.1772,-0.5508,-1.489,-0.3489,0.2873,0.1256,-1.045,-0.1002,-0.4735,-2.07,0.002729,0.05949,-0.1531,-0.6083,-0.06775,-0.1014,1.581
-0.09656,-0.2278,-0.1975,-1.072,-0.1772,-0.5508,-0.1872,-0.3489,0.2873,0.1256,-1.045,-0.1002,-0.5398,0.6672,0.002729,0.05949,-0.1531,-0.6083,-0.06775,-0.1014,0.6267
-0.04532,-0.2278,-0.168,-1.099,-0.1772,-0.5508,-1.015,-0.3489,0.4016,-0.0008688,-1.045,-0.1002,-0.5398,2.648,-0.009703,0.05949,-0.1157,-0.6083,-0.06775,-0.4773,-1.83
-0.04532,-0.2278,-0.168,-0.9337,-0.1772,-0.5508,0.4418,-0.3489,0.4016,-0.0008688,-1.045,-0.1002,-0.3236,-0.5213,-0.009703,0.05949,-0.1157,-0.6083,-0.118,-0.4773,3.351
-0.04465,-0.2278,-0.168,-1.086,-0.1772,-0.5508,-1.007,-0.3489,0.4016,-0.03436,-1.045,-0.1002,-0.3236,1.103,-0.08676,0.05949,-0.0968,-0.6083,-0.101,-0.4773,-0.9738
-0.04465,-0.2278,-0.168,-1.086,-0.1772,-0.5508,-1.007,-0.3489,0.4016,-0.03436,-1.083,-0.03331,-0.3236,0.4402,-0.07917,0.05949,-0.1454,-0.6083,-0.02689,-0.4773,-0.5193
-0.04465,-0.2278,-0.168,-1.086,-0.1772,-0.5508,-1.007,-0.0959,0.4016,-0.03436,-1.083,-0.03331,-0.3899,0.06552,-0.07917,0.05949,-0.1454,-0.6083,-0.02689,-0.4773,2.128
